Edad;PASEM 2020;RH1982;LC1982aj
0;1000000;1000000;1000000
1;998408.5;990043.00;993961.00
2;998295.18;989143.05;993413.33
3;998201.84;988631.66;993101.4
4;998126.48;988251.04;992869.01
5;998065.79;987973.34;992700.22
6;998015.49;987766.85;992574.15
7;997971.87;987576.22;992458.02
8;997931.76;987355.00;992323.04
9;997893.53;987207.88;992233.73
10;997855.91;987065.73;992147.41
11;997816.7;986916.68;992056.13
12;997773.89;986824.9;992000.58
13;997724.3;986676.87;991910.31
14;997665.44;986515.06;991812.11
15;997595.2;986346.36;991708.96
16;997512.4;986115.56;991568.13
17;997417.84;985860.15;991412.46
18;997313.21;985643.26;991280.6
19;997215.07;985405.72;991135.87
20;997119.74;985190.9;991005.04
21;997025.61;984933.77;990848.46
22;996931.39;984650.11;990675.07
23;996836.08;984425.61;990538.35
24;996739.49;984234.63;990421.86
25;996641.51;984040.74;990304.01
26;996542.45;983874.43;990202.5
27;996443.09;983686.51;990087.8
28;996343.94;983480.92;989962.29
29;996245.21;983287.18;989843.99
30;996146.78;983082.65;989719.17
31;996047.26;982836.88;989569.13
32;995945.17;982605.92;989428.12
33;995838.1;982378.94;989289.5
34;995722.49;982180.49;989168.31
35;995593.64;981898.61;988996.09
36;995446.29;981555.93;988786.72
37;995276.77;981230.05;988587.61
38;995082.29;980866.99;988365.76
39;994861.88;980450.13;988110.99
40;994615.15;979980.19;987842.89
41;994340.94;979457.27;987561.48
42;994037.76;978891.83;987251.55
43;993687.56;978310.22;986917.73
44;993280.85;977679.2;986541.23
45;992809.44;976999.08;986124.04
46;992266.77;976249.11;985643.48
47;991644.62;975461.96;985126.35
48;990931.23;974604.15;984533.41
49;990116.68;973693.86;983884.76
50;989188.45;972729.32;983172.34
51;988135.65;971703.19;982388.51
52;986986.06;970574.22;981506.49
53;985735.45;969429.54;980605.75
54;984381.84;968145.68;979583.62
55;982924.85;966827.54;978529.72
56;981364.65;965423.57;977417.42
57;979700.16;963844.58;976158.74
58;977928.57;962136.21;974826.73
59;976044.3;960428.58;973523.73
60;974038.62;958510.93;972100.94
61;971899.25;956460.19;970643.25
62;969610.71;954354.12;969193.31
63;967154.11;952141.65;967714.12
64;964507.98;949845.7;966235.75
65;961648.31;947523.9;964812.05
66;958549.2;945105.99;963364.55
67;955182.01;942486.33;961827.84
68;951513.92;939571.2;960139.02
69;947505.29;936705.54;958527.09
70;943106.97;933656.65;956817.09
71;938257.32;930557.21;955064.38
72;932879.61;927248.93;953169.09
73;926881.66;923925.01;951233.38
74;920158.52;920420.03;949124.97
75;912597.4;916572.56;946725.66
76;904081.86;912505.12;944049.08
77;894489.82;908406.09;941195.46
78;883684.11;904055.82;937968.9
79;871501.73;899574.64;934428.84
80;857744.56;894557.06;930143.05
81;842177.69;889117.66;925076.33
82;824520.51;883011.51;918901.47
83;804471.31;876388.11;911669.61
84;781726.57;869248.99;903129.05
85;756003.47;861543.57;892942.53
86;727065.77;853045.31;880563.48
87;694751.11;843911.13;865910.88
88;658996.86;833945.26;848132.9
89;619864.57;823234.8;826844.24
90;577562.41;811740.38;801618.17
91;532459.17;799388.97;771417.33
92;485088.68;786801.62;737744.00
93;436138.28;773817.87;699814.25
94;386427.63;760435.66;657259.88
95;336878.92;745338.94;585610.2
96;288479.35;727800.13;517781.31
97;242238.05;708006.69;454280.96
98;199122.29;686166.35;395473.11
99;159975.76;662503.53;341583.61
100;125433.65;637255.52;292710.11
101;95856.27;610668.49;248835.06
102;71981.05;582993.6;209841.17
103;51205.26;554483.08;175528.13
104;33424.2;525386.47;145630.01
105;19050.41;495947.12;119832.28
106;8827.11;466398.98;977880.63
107;3051.29;436963.7;791328.15
108;701.63;407848.13;634973.14
109;90.83;379242.25;505185.36
110;5.23;351317.56;398484.08
111;0.00;324225.88;311604.42
112;0.00;0.00;0.00
113;0.00;0.00;0.00
114;0.00;0.00;0.00
115;0.00;0.00;0.00
116;0.00;0.00;0.00
117;0.00;0.00;0.00
118;0.00;0.00;0.00
119;0.00;0.00;0.00
120;0.00;0.00;0.00
