,LC_1982,PASEM2020,RH_1982
0,100000.0,100000.0,100000.0
1,99052.8608620246,99840.84791,99009.2325358204
2,98967.2130678125,99829.5143,98919.2740295864
3,98918.5424163198,99820.1845,98868.1459815136
4,98882.3161384724,99812.65144,98830.0890712659
5,98855.8853434751,99806.58604,98802.3217175501
6,98836.232106448,99801.55823,98781.6741899777
7,98818.087031536,99797.19234,98762.6111664409
8,98797.0313289952,99793.17977,98740.4908190185
9,98783.0285111504,99789.36157,98725.7795818736
10,98769.4975045864,99785.5974,98711.564093129
11,98755.3106842937,99781.67973,98696.6597722272
12,98746.5743612603,99777.3962,98687.4814096622
13,98732.4847641951,99772.44138,98672.6793976017
14,98717.0823360706,99766.55676,98656.4984050219
15,98701.024992596,99759.53639,98639.6295860786
16,98679.0553599028,99751.26071,98616.5506129953
17,98654.7439568534,99741.79934,98591.0122336067
18,98634.0984318834,99731.34127,98569.3245965554
19,98611.4869306217,99721.52864,98545.5722514852
20,98591.0380623659,99711.99984,98524.0916581191
21,98566.5607786063,99702.58263,98498.3802255382
22,98539.5580676956,99693.16347,98470.01677637
23,98518.1867779142,99683.63548,98447.5681716859
24,98500.0063786806,99673.97818,98428.4711958672
25,98481.5482461175,99664.18434,98409.0826968088
26,98465.7165717654,99654.28157,98392.4529670452
27,98447.8268457661,99644.34647,98373.6618030847
28,98428.2547336042,99634.42855,98353.1038560733
29,98409.8100467396,99624.55053,98333.7302029185
30,98390.3391028886,99614.70329,98313.2789139703
31,98366.9411564782,99604.75388,98288.7036661478
32,98344.9523172041,99594.5447,98265.6085344642
33,98323.3425877408,99583.83542,98242.9118003656
34,98304.4499203107,99572.27366,98223.0687363314
35,98277.6125258228,99559.38902,98194.8827602916
36,98244.9864154981,99544.65824,98160.6187252824
37,98213.9598462313,99527.70159,98128.0348087957
38,98179.3929630854,99508.25857,98091.7341515381
39,98139.7017339123,99486.22063,98050.0540215513
40,98097.9413725535,99461.54501,98003.0696355978
41,98054.114482171,99434.12785,97950.7886402171
42,98005.8518331675,99403.80764,97894.2582043169
43,97953.8798803124,99368.78652,97836.1112291995
44,97895.2741526901,99328.10997,97773.026285355
45,97830.3498351944,99280.9735,97705.0343107865
46,97755.5799714982,99226.70336,97630.0625845752
47,97675.1436051375,99164.48546,97551.374726914
48,97582.9419696962,99093.14888,97465.6269943949
49,97482.1140068981,99011.69249,97374.635841868
50,97371.4126290771,98918.86707,97278.2244005039
51,97249.6670018386,98813.58483,97175.6597256513
52,97112.7313501813,98698.62122,97062.8214350694
53,96972.9608776619,98573.55662,96948.4153693775
54,96814.436520982,98438.19471,96820.1069226945
55,96651.082258086,98292.49982,96688.3754229952
56,96478.7819998126,98136.47679,96548.0711135697
57,96283.9330218428,97970.03199,96390.2919202882
58,96077.8829431361,97792.87692,96219.5959211201
59,95876.4748941338,97604.45404,96048.9743251688
60,95656.7208474344,97403.88196,95857.3880193675
61,95431.7618257594,97189.94347,95652.519660363
62,95208.1917629258,96961.0856,95442.129470898
63,94980.3040176359,96715.42555,95221.1234751693
64,94752.7407077304,96450.80847,94991.7882985294
65,94533.7827211199,96164.84458,94759.8740980785
66,94311.352564879,95854.93201,94518.3723683076
67,94075.4146109145,95518.2144,94256.7469023608
68,93816.357127668,95151.40362,93965.6588545789
69,93569.3418838089,94750.54056,93679.503625308
70,93307.5496596232,94310.71082,93375.080403267
71,93039.4908900922,93825.74406,93065.6194813289
72,92749.9284847752,93287.97432,92735.3428559195
73,92454.5246684319,92688.18372,92403.5173150737
74,92133.1365627018,92015.86883,92053.6322025092
75,91767.8683376166,91259.75862,91669.6388331856
76,91360.9762101974,90408.20637,91263.7403554042
77,90927.8707947544,89448.99959,90854.6971804523
78,90439.0040500239,88368.42822,90420.6416190148
79,89903.6872015801,87150.1862,89973.5572720161
80,89257.0000296974,85774.46819,89473.1055664009
81,88494.4791298235,84217.77774,88930.7082886675
82,87568.0800133422,82452.05522,88322.0536146959
83,86487.2435401311,80447.1377,87662.0319337765
84,85216.5729717917,78172.66299,86950.8284207584
85,83709.157639643,75600.35294,86183.4566013627
86,81889.1672113593,72706.58236,85337.5160584178
87,79752.1258265186,69475.11721,84428.6109568535
88,77184.1900622082,65899.69288,83437.4339673593
89,74145.7882434048,61986.46521,82372.6738853619
90,70598.1044373928,57756.25107,81230.5189193025
91,66426.7502571396,53245.92933,79994.5185213361
92,61879.2555273268,48508.88048,78734.9075154044
93,56889.815336869,43613.83999,77435.629235325
94,51464.457010193,38642.77582,76096.4770937589
95,42665.7860538771,33687.90197,74585.7544632116
96,34915.4885857054,28847.94267,72830.6533799221
97,28199.9580556883,24223.812,70849.9315990535
98,22474.7435578571,19912.23411,68664.3779493491
99,17671.7230636838,15997.58074,66296.4500507949
100,13706.3149505762,12543.36865,63769.8917255064
101,10484.2589310486,9585.63029,61109.3391752961
102,7907.6098609591,7198.10778,58339.9249938088
103,5879.71154259975,5120.52808,55486.8888096621
104,4309.03872456324,3342.42142,52575.2028382122
105,3111.90285396788,1905.04195,49629.2198802433
106,2214.10307504006,882.71107,46672.350379835
107,1551.66457443806,305.1289,43726.7740799695
108,1070.84123328231,70.16275,40813.1906356477
109,727.571083643872,9.08317,37950.6123045254
110,486.565656111154,0.52346,35156.200578268
111,320.193314674885,0.0,32445.147385873
